번호	제목	날짜	조회수
122	홈페이지 이용약관 개정 안내	2016-09-22	2556
121	개인정보 처리방침 개정 안내	2016-09-21	1508
120	2016 9월 추석 연휴 스타벅스 매장 영업시간 변경 안내	2016-09-13	9254
119	스타벅스커피 코리아 애플리케이션 버전 업데이트 안내	2016-08-10	4610
118	“스테인리스 스틸 스트로우” 관련 안내	2016-08-08	9850
117	영상 정보처리기기 운영 및 관리 지침 변경 안내	2016-08-05	1504
116	홈페이지 개인정보취급방침 개정 안내	2016-06-03	4900
115	스타벅스커피 코리아 홈페이지/애플리케이션 접속 일시 중단 안내	2016-05-03	7162
114	스타벅스커피 코리아 홈페이지/앱 접속 일시 중단 안내	2016-03-09	9914
113	스타벅스커피 코리아 홈페이지 접속 일시 중단 안내	2016-02-16	6476
112	홈페이지 개인정보취급방침 개정 안내	2016-02-11	3381
111	2016 2월 설 연휴 스타벅스 매장 영업시간 변경 안내	2016-02-05	13368
110	스타벅스커피 코리아 홈페이지/모바일 애플리케이션 접속 일시 중단 안내	2016-01-19	6694
109	2015 크리스마스 홀케익 예약 구매 고객 대상 사은 행사	2016-01-15	28470
108	보안인증서 업그레이드 안내	2015-12-30	5772
107	스타벅스커피 코리아 애플리케이션 버전 업데이트 안내	2015-12-14	18170
106	발신번호 사전등록제 안내	2015-12-14	12582
105	스타벅스 카드 이용약관 개정 안내	2015-12-02	16948
104	홈페이지 이용약관 및 개인정보취급방침 개정 안내	2015-11-12	4096
103	홈페이지 개인정보취급방침 개정 안내	2015-10-30	2288
102	스타벅스커피 코리아 10월 30일 이프리퀀시 외 업데이트 안내	2015-10-30	33286
101	스타벅스커피 코리아 모바일 애플리케이션 리뉴얼 런칭 안내	2015-10-05	50702
100	[단체 및 기업 구매] 스타벅스 카드 e-Gift 구매 신청 일시 중단 안내	2015-09-30	4650
99	2015 9월 추석 연휴 스타벅스 매장 영업시간 변경 안내	2015-09-25	32054
98	스타벅스커피 코리아 홈페이지 접속 일시 중단 안내	2015-09-21	4292
97	홈페이지 이용약관 개정 안내	2015-09-11	1774
96	홈페이지 개인정보취급방침 개정 안내	2015-08-27	3264
95	스타벅스 카드 e-Gift 발송내역 보관 기간 축소 안내	2015-08-17	5955
94	홈페이지 휴면 계정 관련 이용약관 변경 안내	2015-08-11	8417
93	스타벅스 리뉴얼 홈페이지 최적 브라우져 안내	2015-08-11	21599
92	스타벅스커피 코리아 홈페이지 접속 일시 중단 안내	2015-08-10	6015
91	홈페이지 휴면 계정 회원정보 정리 안내	2015-07-24	11174
90	"마이 스타벅스 리워드 웹/모바일, 앱 서비스 접속 일시 중단 안내"	2015-07-22	5604
89	홈페이지 이용약관 및 개인정보취급방침 개정 안내	2015-06-29	2872
88	홈페이지 개인정보취급방침 개정 안내	2015-04-22	1784
87	스타벅스 카드 어플리케이션 7.0.0 버전 업데이트 안내	2015-04-20	8962
86	"웹 & 모바일 사이트, 앱 서비스 접속 일시 중단 안내"	2015-04-16	2522
85	홈페이지 이용약관 및 개인정보취급방침 개정 안내	2015-03-25	2110
84	"웹 & 모바일 사이트, 앱 서비스 접속 일시 중단 안내"	2015-03-02	5371
83	홈페이지 개인정보취급방침 변경 안내	2015-02-17	2158
82	모바일 상품권 결제 취소 시 환불 방법 변경 안내	2015-01-20	13581
81	올레 멤버십 제휴 서비스 변경 안내	2015-01-05	45101
80	마이 스타벅스 리워드 골드 카드 신청 일시 중지 안내	2015-01-02	36123
79	증정용 플래너 수량이 얼마 남지 않았습니다.	2015-01-02	19943
78	혹시 스타벅스 메일이 보이지 않으세요?	2014-12-17	6231
77	홈페이지 개인정보취급방침 변경 안내	2014-12-01	2712
76	"웹 & 모바일 사이트, 앱 서비스 접속 일시 중단 안내"	2014-10-21	4667
75	신세계 포인트 적립 가능 안내 (2014년 8월 13일 부터)	2014-08-11	25774
74	"웹 & 모바일 사이트, 앱 서비스 접속 일시 중단 안내"	2014-07-23	4176
73	스타벅스 음료 가격 인상 안내	2014-07-14	40467
72	스타벅스커피 코리아 홈페이지(웹/모바일) 서비스 접속 일시 중단 안내	2014-06-09	7871
71	2014 6월 연휴 스타벅스 매장 영업시간 변경 안내	2014-06-03	13538
70	스타벅스 카드 약관 변경 안내	2014-06-02	7933
69	홈페이지 개인정보취급방침 변경 안내	2014-05-16	2424
68	마이 스타벅스 리워드 온라인 서비스 일시 중단안내	2014-04-17	7337
67	마이 스타벅스 리워드 온라인 서비스 일시 중단안내	2014-04-15	5851
66	"스타벅스커피 코리아 홈페이지(웹/모바일), 앱 서비스 접속 일시 중단 안내"	2014-04-14	5194
65	스타벅스 카드 환불 약관 변경 안내	2014-04-10	11960
64	홈페이지 개인정보취급방침 및 이용약관 변경 안내	2014-04-09	2676
63	스타벅스커피 코리아 홈페이지(웹/모바일) 서비스 접속 일시 중단 안내	2014-03-31	5253
62	스타벅스커피 코리아 홈페이지(웹/모바일) 서비스 접속 일시 중단 안내	2014-03-17	6777
61	[채용] 2014년 1분기 장애인 바리스타 채용	2014-02-04	7575
60	[채용] 2014 스타벅스 매장관리 대졸 신입채용	2014-01-29	47455
59	스타벅스커피 코리아 홈페이지(웹/모바일) 서비스 접속 일시 중단 안내	2014-01-21	5852
58	2013 크리스마스 및 연말연시 스타벅스 매장 영업시간 변경 안내	2013-12-24	44076
57	피싱 문자 메시지 주의	2013-11-26	7670
56	스타벅스 카드 약관 변경 안내	2013-10-25	21346
55	스타벅스 홈페이지 개인정보 관리 안내	2013-10-25	5399
54	[채용] 4분기 장애인 바리스타 채용 안내	2013-10-15	10212
53	추석 연휴기간 스타벅스 매장 영업시간 안내 (9월 18일~9월 22일)	2013-09-09	84480
52	"'스타벅스, 바다를 만나다' 사진 공모전 당선작 발표"	2013-09-05	13632
51	[채용] 스타벅스 3분기 장애인 바리스타 채용	2013-08-26	6911
50	[채용] 지원센터 인사노무 담당자 모집	2013-08-19	13097
49	웹 & 모바일 사이트 서비스 접속 일시 중단 안내	2013-08-13	2912
48	[채용] 스타벅스 매장경력직(지방) 채용	2013-08-08	24497
47	[채용] 스타벅스 지원센터 경력직 채용	2013-08-08	17342
46	스타벅스 고객센터 및 수도권 매장 전화 연결 점검 안내	2013-08-07	11606
45	웹 & 모바일 사이트 서비스 접속 일시 중단 안내	2013-07-15	2350
44	스타벅스 청년 리더십 기금 지원 <초록을 만드는 청년학교> 안내	2013-07-02	3992
43	"웹 & 모바일 사이트, 앱 서비스 접속 일시 중단 안내"	2013-06-12	5103
42	웹 & 모바일 사이트 내 케익 예약 서비스 접속 일시 중단 정정 안내	2013-06-10	2555
41	스타벅스 청년 리더십 기금 지원 <청년 리더십 캠프> 안내	2013-06-03	3892
40	마이 스타벅스 리워드 일시 접속 중단 안내	2013-05-27	9298
39	[채용] 2분기 장애인 바리스타 채용 _ 5월	2013-05-14	7217
38	[채용] 스타벅스 장애인 인사관리 부문 채용	2013-05-09	12683
37	[채용] 스타벅스 매장별 Barista 채용 _ 5월	2013-05-06	12582
36	"[채용] 속초, 강릉 매장 바리스타 모집"	2013-05-01	5105
35	마이 스타벅스 리워드 접속 일시 중단 안내	2013-04-18	17790
34	"PC 웹페이지, 모바일 웹페이지, 앱 서비스 접속 일시중단 안내"	2013-04-15	4517
33	스타벅스카드 이용약관 변경 안내	2013-04-12	15048
32	마이 스타벅스 리워드 일시 접속 중단 안내	2013-04-08	4288
31	일본산 그린 티 파우더 사용 안내	2013-04-04	12997
30	[채용] 경주지역 바리스타 모집	2013-04-03	4031
